Region,Pol,Obrazovanje,Radni status,Nacionalnost,Mesto stanovanja,Starost kategorija,independent_summary
Zapadna Srbija sa Šumadijom,Muško,Magistratura/doktorat,Zaposlen kod privatnika,srpska ,Grad (Urbano naselje),40 do 49,"Ispitanik koristi kablovsku televiziju, internet usluge i striming aplikacije, provodeći 90 minuta dnevno uz televiziju, 100 minuta uz informativne portale, 200 minuta na društvenim mrežama i 50 minuta na striming servisima. Najčešće prati kablovske TV stanice, posebno N1, ali nema poverenja u većinu medija. Zainteresovan je za informativne i dokumentarne programe, kao i sportske sadržaje. Kombinuje više medija za pronalaženje sadržaja, a najviše štetnih sadržaja primećuje na televiziji, posebno u Informeru. Preferira internet portale koji nude informativne, filmske i sportske sadržaje."
Zapadna Srbija sa Šumadijom,Žensko,Četvorogodišnja srednja škola,Učenik/Student,srpska ,Selo (Ruralno naselje),18 do 29,"Ispitanik koristi kablovsku televiziju, internet usluge i striming aplikacije, provodeći dnevno 90 minuta uz televiziju, 60 minuta na informativnim portalima i društvenim mrežama, te 120 minuta na striming servisima. Najčešće prati kablovske TV stanice, posebno N1, i ima puno poverenje u njih. Iako ne veruje u većinu medija, smatra da su štetni sadržaji najzastupljeniji na televiziji, posebno na RTS-u. Kombinuje više medija za pronalaženje sadržaja, a preferira internet portale koji nude filmski i muzički program."
Južna i Istočna Srbija,Žensko,Visoka  škola ili fakultet,Učenik/Student,srpska ,Grad (Urbano naselje),18 do 29,"Ispitanik koristi kablovsku televiziju, internet usluge i striming aplikacije, pri čemu najčešće prati striming sadržaje. U toku dana provodi 20 minuta uz televiziju, 120 minuta uz radio, 10 minuta na informativnim portalima, 240 minuta na društvenim mrežama i 120 minuta na striming servisima. Najčešće koristi Tik-Tok i ima poverenje u specijalizovane informativne kanale, dok ne veruje u većinu TV stanica. Kombinuje više medija za pronalaženje sadržaja, a najviše štetnih sadržaja primećuje na televiziji, posebno na kanalu Pink. Zainteresovan je za dokumentarne filmove i humorističke emisije."
Južna i Istočna Srbija,Muško,Visoka  škola ili fakultet,Zaposlen kod privatnika,srpska ,Selo (Ruralno naselje),18 do 29,"Ispitanik koristi kablovsku televiziju i internet usluge, dok striming aplikacije (HBO MAX) najčešće prati. Dnevno provodi 60 minuta uz televiziju, 30 minuta uz radio, 60 minuta na informativnim portalima, 30 minuta na društvenim mrežama i 120 minuta na striming servisima. Ima nisko poverenje u većinu medija, uključujući televiziju i društvene mreže, a najviše poverenja nema ni u RTS. Kombinuje više medija za pronalaženje sadržaja, a najčešće prati sportske programe. Smatra da su štetni sadržaji najzastupljeniji na televiziji, posebno na RTS-u."
Zapadna Srbija sa Šumadijom,Žensko,Visoka  škola ili fakultet,"Zaposlen u javnoj administraciji (lokalna, republička)",bošnjačka,Grad (Urbano naselje),50 do 59,"Ispitanik koristi kablovsku televiziju kao primarni izvor medijskih sadržaja, provodeći 100 minuta dnevno gledajući televiziju, dok internet i društvene mreže koriste u manjoj meri. Ima poverenje u kablovske i specijalizovane informativne kanale, dok ne veruje u TV stanice poput Pink-a, koje smatra izvorom štetnih sadržaja. Najčešće prati humorističke i satirične emisije, kao i filmski i serijski program. Iako ne prati striming servise, preferira televiziju koja bi pokrivala verske, filmske i sportske teme. Ispitanik ne smatra da su mediji nepristrasni i izražava zabrinutost zbog dezinformacija."
Zapadna Srbija sa Šumadijom,Žensko,Četvorogodišnja srednja škola,Nezaposlen (radno sposoban),srpska ,Selo (Ruralno naselje),50 do 59,"Ispitanik koristi kablovsku televiziju kao primarni medij, provodeći 60 minuta dnevno gledajući televiziju, dok ne koristi druge medijske usluge poput interneta, radija ili striming aplikacija. Ima poverenje u regionalne i lokalne TV stanice, dok ne pokazuje poverenje prema kablovskim i specijalizovanim informativnim kanalima. Najčešće prati informativni program namenjen specijalizovanim grupama i domaće filmske programe. Iako ne prati zabavni, dečiji ili sportski program, interesuje ga verski i filmski sadržaj. Ispitanik smatra da su štetni sadržaji u medijima prisutni, ali nije siguran u to."
Zapadna Srbija sa Šumadijom,Muško,Dvogodišnja ili trogodišnja srednja škola,Zaposlen kod privatnika,srpska ,Selo (Ruralno naselje),18 do 29,"Ispitanik koristi zemaljsku i kablovsku televiziju, kao i internet usluge, dok ne koristi striming aplikacije. Najčešće prati TV stanice sa nacionalnom pokrivenošću, provodeći 180 minuta dnevno uz televiziju i 120 minuta na društvenim mrežama. Ima poverenje u regionalne TV stanice i radio, dok ne veruje u štampane medije i internet portale. Prati dokumentarne filmove, zabavne šou programe i sportske prenose, a najčešće koristi više medija za pronalaženje sadržaja. Smatra da su štetni sadržaji najzastupljeniji na televiziji, posebno u mediju Informer."
Zapadna Srbija sa Šumadijom,Muško,Dvogodišnja ili trogodišnja srednja škola,Penzioner,srpska ,Grad (Urbano naselje),Više od 70,"Ispitanik koristi zemaljsku antenu za gledanje televizije, provodeći 240 minuta dnevno uz TV, dok ne koristi kablovsku televiziju, internet usluge, striming aplikacije ili društvene mreže. Ima puno poverenje u nacionalne TV stanice kao što su RTS, PINK i Prva, dok ne može da proceni poverenje u kablovske i specijalizovane kanale. Najčešće prati informativne emisije i dokumentarne filmove, a interesuje ga širok spektar sadržaja, uključujući naučno-obrazovne i kulturne programe. Medijske sadržaje pronalazi isključivo preko RTS-a, koji smatra jednim od medija koji zadovoljava njegova interesovanja."
Vojvodina,Žensko,Završena osnovna škola ili manje,Penzioner,srpska ,Grad (Urbano naselje),Više od 70,"Ispitanik koristi zemaljsku antenu za gledanje televizije, provodeći 240 minuta dnevno uz TV i 120 minuta uz radio, dok ne koristi internet, kablovsku televiziju, striming servise ili društvene mreže. Ima poverenje u nacionalne i regionalne TV stanice, kao i u štampane medije, dok ne može da proceni poverenje u kablovske i specijalizovane informativne kanale. Najčešće prati informativne programe i reportaže, a smatra da su štetni sadržaji najzastupljeniji u štampanim dnevnim novinama. Ispitanik pronalazi medijske sadržaje isključivo preko TV stanica."
Zapadna Srbija sa Šumadijom,Muško,Četvorogodišnja srednja škola,Penzioner,srpska ,Selo (Ruralno naselje),60 do 69,"Ispitanik koristi zemaljsku antenu za gledanje televizije (240 minuta dnevno) i radio (180 minuta), dok internet i striming servise ne koristi. Ima puno poverenje u nacionalne TV stanice i radio, dok ne veruje kablovskim i internet medijima. Najčešće prati informativno-zabavne programe i domaće serije, a kombinacija više medija mu pomaže da pronađe sadržaje. Zainteresovan je za filmski i sportski program, dok ne prati dokumentarne i kulturne sadržaje. Smatra da su štetni sadržaji najzastupljeniji na društvenim mrežama, posebno na Facebooku."
Beograd,Muško,Četvorogodišnja srednja škola,Zaposlen kod privatnika,srpska ,Grad (Urbano naselje),50 do 59,"Ispitanik koristi kablovsku televiziju, internet usluge i striming aplikacije, provodeći po 60 minuta dnevno uz televiziju, radio, informativne portale, društvene mreže i striming servise. Najčešće prati internet sajtove i informativne emisije, dok humorističke i satirične emisije predstavljaju omiljeni zabavni sadržaj. Iako ne veruje u medije koje prati, smatra da su štetni sadržaji veoma zastupljeni, posebno na televiziji. Kombinuje više medija za pronalaženje sadržaja, a preferira televiziju koja bi pokrivala dokumentarne i kulturno-umetničke programe."
Južna i Istočna Srbija,Muško,Visoka  škola ili fakultet,"Zaposlen u javnoj administraciji (lokalna, republička)",srpska ,Grad (Urbano naselje),30 do 39,"Ispitanik koristi zemaljsku i kablovsku televiziju, kao i internet usluge, dok ne koristi striming aplikacije. Najčešće prati kablovske TV stanice, posebno N1, i provodi 45 minuta dnevno gledajući televiziju, uz 240 minuta na društvenim mrežama. Ima malo poverenja u većinu medija, ali veruje u N1. Zainteresovan je za filmski i serijski program, dok su mu informativni i zabavni programi manje zanimljivi. Kombinuje više medija za pronalaženje sadržaja, a smatra da su štetni sadržaji najzastupljeniji na televiziji, posebno na Pinku."
Južna i Istočna Srbija,Žensko,Visoka  škola ili fakultet,Zaposlen kod privatnika,srpska ,Selo (Ruralno naselje),50 do 59,"Ispitanik koristi zemaljsku i kablovsku televiziju, internet usluge i striming aplikacije, pri čemu najčešće koristi internet. Dnevno provodi 120 minuta uz televiziju, 30 minuta uz radio, 15 minuta na informativnim portalima, 60 minuta na društvenim mrežama i 110 minuta na striming servisima. Ima poverenje u kablovske i specijalizovane informativne kanale, dok ne veruje u nacionalne i lokalne TV stanice. Najčešće prati Facebook i smatra da je medij NovaS najbliži njegovim interesovanjima. Zainteresovan je za informativne, dokumentarne i kulturne sadržaje, dok ne prati sportski program. Smatra da su štetni sadržaji najzastupljeniji na televiziji, posebno na kanalu Pink."
Zapadna Srbija sa Šumadijom,Žensko,Visoka  škola ili fakultet,Učenik/Student,srpska ,Selo (Ruralno naselje),18 do 29,"Ispitanik koristi kablovsku televiziju i internet usluge, dok ne koristi zemaljsku antenu, striming aplikacije ili radio. Najčešće provodi 120 minuta dnevno gledajući televiziju i 180 minuta na društvenim mrežama, posebno Instagramu, kojem ima puno poverenje. Ispitanik ne veruje u većinu TV stanica, ali ima poverenje u kablovske i internet portale. Zainteresovan je za zabavni i filmski sadržaj, dok ne prati informativne, dokumentarne ili sportske programe. Smatra da su štetni sadržaji najzastupljeniji na televiziji, posebno u mediju Informer."
Zapadna Srbija sa Šumadijom,Muško,Četvorogodišnja srednja škola,Zaposlen kod privatnika,srpska ,Selo (Ruralno naselje),30 do 39,"Ispitanik koristi kablovsku televiziju i striming aplikacije, dok ne koristi zemaljsku televiziju i internet usluge. Najčešće prati društvene mreže, posebno Facebook, gde provodi značajno vreme. U dnevnom rasporedu, gleda televiziju 360 minuta, koristi radio 60 minuta, a društvene mreže 180 minuta. Ima poverenje u Facebook i Instagram, dok ne veruje u Twitter i TikTok. Zainteresovan je za dokumentarne i zabavne programe, ali ne prati rijaliti i dečije programe. Kombinuje više medija za pronalaženje sadržaja, a smatra da su štetni sadržaji najzastupljeniji na televiziji."
Južna i Istočna Srbija,Muško,Dvogodišnja ili trogodišnja srednja škola,Penzioner,srpska ,Selo (Ruralno naselje),60 do 69,"Ispitanik koristi zemaljsku antenu za gledanje televizije, provodeći 320 minuta dnevno uz TV, dok ne koristi kablovsku televiziju, internet usluge, striming aplikacije ili društvene mreže. Ima nisko poverenje u većinu medija, posebno u štampane i radio stanice, dok veruje u medij Belami zbog pravovremenih informacija. Zainteresovan je za informativne i filmske sadržaje, dok ne prati dokumentarne, kulturne ili dečije programe. Kombinuje više medija za pronalaženje sadržaja, a smatra da su štetni sadržaji najzastupljeniji na televiziji, posebno na RTS-u."
Zapadna Srbija sa Šumadijom,Muško,Dvogodišnja ili trogodišnja srednja škola,Penzioner,srpska ,Selo (Ruralno naselje),60 do 69,"Ispitanik koristi zemaljsku antenu za gledanje televizije, dok ne koristi kablovsku televiziju, striming aplikacije ili internet portale. Dnevno provodi 360 minuta uz televiziju i 180 minuta uz radio. Ima poverenje u nacionalne TV stanice, dok ne veruje lokalnim i kablovskim stanicama. Prati vesti i dokumentarne filmove, a najčešće gleda domaće serije i talk šou programe. Kombinuje više medija za pronalaženje sadržaja, a svakodnevno se informiše putem nacionalnih TV stanica i radija. Zainteresovan je za zabavne i muzičke programe, dok ne prati sportski i dečiji program."
Beograd,Muško,Visoka  škola ili fakultet,"Zaposlen u javnoj administraciji (lokalna, republička)",srpska ,Grad (Urbano naselje),60 do 69,"Ispitanik koristi kablovsku televiziju i internet usluge, dok ne koristi zemaljsku antenu, striming aplikacije ili štampane medije. Prosečno provodi 30 minuta dnevno uz televiziju, radio, informativne internet portale i društvene mreže. Najčešće koristi društvene mreže, posebno YouTube, ali nema poverenja u medije, uključujući TV stanice i internet portale. Kombinuje više medija za pronalaženje sadržaja, a najviše prati vesti i dokumentarne filmove. Smatra da su štetni sadržaji veoma zastupljeni, posebno na televiziji, s posebnim naglaskom na kanal Pink."
Beograd,Žensko,Četvorogodišnja srednja škola,Zaposlen kod privatnika,srpska ,Grad (Urbano naselje),30 do 39,"Ispitanik koristi kablovsku televiziju, internet usluge i striming aplikacije, pri čemu najčešće koristi internet. Dnevno provodi 30 minuta uz televiziju, 30 minuta uz radio, 60 minuta na informativnim internet portalima, 30 minuta na društvenim mrežama i 120 minuta na striming servisima. Ima poverenje u internet portale i YouTube, dok ne veruje u TV stanice i štampane medije. Kombinuje više medija za pronalaženje sadržaja, a najčešće prati sportski program i humorističke emisije. Smatra da su štetni sadržaji veoma zastupljeni, posebno na televiziji."
Vojvodina,Muško,Četvorogodišnja srednja škola,Nezaposlen (radno sposoban),srpska ,Grad (Urbano naselje),50 do 59,"Ispitanik koristi kablovsku televiziju kao primarni izvor medijskih sadržaja, provodeći 120 minuta dnevno uz televiziju i 120 minuta na društvenim mrežama. Ne koristi zemaljsku antenu, striming aplikacije ili informativne internet portale. Ima neutralan stav prema poverenju u većinu medija, osim u štampane medije. Zainteresovan je za sportski i muzički program, dok su mu naučno-obrazovni i dokumentarni programi od značaja. Kombinuje više medija za pronalaženje sadržaja, a najviše štetnih sadržaja primećuje na televiziji, posebno na kanalu Pink."
